tmdb_id,imdb_id,title,release_date,belongs_to_collection,runtime,budget,revenue
1255,tt0468492,The Host,2006-07-27,False,119,11000000,88489643
9693,tt0206634,Children of Men,2006-09-22,False,109,76000000,69959751
37933,tt0495596,Tales from Earthsea,2006-07-29,False,115,22000000,68000000
4474,tt0465624,My Super Ex-Girlfriend,2006-06-20,False,95,0,60896147
9954,tt0475944,The Covenant,2006-09-08,False,97,20000000,37597471
9920,tt0370032,Ultraviolet,2006-03-03,False,87,30000000,31070211
1381,tt0414993,The Fountain,2006-09-06,False,96,35000000,15304890
9035,tt0439815,Slither,2006-03-31,False,95,15000000,12834936
14113,tt0383060,Zoom,2006-08-11,False,83,75600000,12506188
5172,tt0469263,The Astronaut Farmer,2006-10-15,False,104,13000000,11130889
3509,tt0405296,A Scanner Darkly,2006-05-25,False,100,8700000,7659918
14609,tt0491703,Ultimate Avengers,2006-02-21,True,72,0,6700000
14069,tt0808506,The Girl Who Leapt Through Time,2006-07-15,False,98,0,3800000
9389,tt0386741,Renaissance,2006-03-16,False,105,18000000,1831348
4977,tt0851578,Paprika,2006-10-01,False,90,0,944915
7512,tt0387808,Idiocracy,2006-09-01,False,84,30000000,495303
1858,tt0418279,Transformers,2007-06-27,True,144,150000000,709709780
6479,tt0480249,I Am Legend,2007-12-14,False,101,150000000,585349010
7737,tt0432021,Resident Evil: Extinction,2007-09-20,True,94,45000000,148412065
1738,tt0435705,Next,2007-04-24,False,96,70000000,76066841
10253,tt0372873,Dragon Wars: D-War,2007-02-08,False,90,32000000,75108998
1562,tt0463854,28 Weeks Later,2007-04-26,True,100,15000000,64238440
5876,tt0884328,The Mist,2007-11-21,False,126,18000000,57096190
440,tt0758730,Aliens vs Predator: Requiem,2007-12-25,True,94,40000000,41797066
1272,tt0448134,Sunshine,2007-04-05,False,107,50000000,32017803
1534,tt0446013,Pathfinder,2007-01-11,False,99,45000000,30822861
2267,tt0768212,The Last Mimzy,2007-02-09,False,94,0,27297450
9785,tt0435670,The Invisible,2007-04-27,False,102,30000000,26810113
4858,tt0427392,The Invasion,2007-08-17,False,99,80000000,15071514
16873,tt0858486,Battle for Terra,2007-09-06,False,85,4000000,6101046
13025,tt0848557,Diary of the Dead,2007-09-08,True,95,2000000,5364858
14139,tt0480669,Timecrimes,2007-10-05,False,92,2600000,553198
15137,tt0923811,Evangelion: 1.0 You Are (Not) Alone,2007-09-01,True,97,0,223839
22491,tt0377061,I'll Believe You,2007-01-01,False,82,0,24110
15888,tt0918628,Fishtales,2007-08-24,False,94,14000000,9216
392118,tt1333983,Beyond Lemuria,2007-06-22,False,120,0,0
1726,tt0371746,Iron Man,2008-04-30,True,126,140000000,585174222
10200,tt0970416,The Day the Earth Stood Still,2008-12-10,False,104,80000000,233093859
8247,tt0489099,Jumper,2008-02-13,False,88,85000000,222231186
7191,tt1060277,Cloverfield,2008-01-15,False,85,25000000,170764026
1724,tt0800080,The Incredible Hulk,2008-06-12,False,114,150000000,163712074
8645,tt0949731,The Happening,2008-06-11,False,91,60000000,163403799
11253,tt0411477,Hellboy II: The Golden Army,2008-07-11,True,120,85000000,160388063
88751,tt0373051,Journey to the Center of the Earth,2008-07-10,True,93,45000000,101702060
7459,tt0811080,Speed Racer,2008-05-09,False,135,120000000,93945766
